geography_id,canonical_name,NO_PROP,NO_KAB,NAMA_PROP,NAMA_KAB,coverage_start_year,coverage_end_year,Total_basa,Total_ba_1,Total_keri,source_id,component_class,claim_type,bnpb_crosswalk_status,semantic_interpretation_of_abbreviated_field_names_authorized,event_level_record_inference_authorized,observed_impact_inference_authorized,risk_synthesis_authorized
idn.13.1301,Kepulauan Mentawai,13,1309,SUMATERA BARAT,KAB. KEPULAUAN MENTAWAI,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1302,Pesisir Selatan,13,1301,SUMATERA BARAT,KAB. PESISIR SELATAN,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1303,Solok,13,1302,SUMATERA BARAT,KAB. SOLOK,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1304,Sijunjung,13,1303,SUMATERA BARAT,KAB. SIJUNJUNG,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1305,Tanah Datar,13,1304,SUMATERA BARAT,KAB. TANAH DATAR,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1306,Padang Pariaman,13,1305,SUMATERA BARAT,KAB. PADANG PARIAMAN,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1307,Agam,13,1306,SUMATERA BARAT,KAB. AGAM,2015,2024,273.0,266.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1308,Lima Puluh Kota,13,1307,SUMATERA BARAT,KAB. LIMA PULUH KOTA,2015,2024,124.0,111.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1309,Pasaman,13,1308,SUMATERA BARAT,KAB. PASAMAN,2015,2024,126.0,105.0,21.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1310,Solok Selatan,13,1311,SUMATERA BARAT,KAB. SOLOK SELATAN,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1311,Dharmasraya,13,1310,SUMATERA BARAT,KAB. DHARMASRAYA,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1312,Pasaman Barat,13,1312,SUMATERA BARAT,KAB. PASAMAN BARAT,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1371,Padang,13,1371,SUMATERA BARAT,KOTA PADANG,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1372,Solok,13,1372,SUMATERA BARAT,KOTA SOLOK,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1373,Sawahlunto,13,1373,SUMATERA BARAT,KOTA SAWAHLUNTO,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1374,Padang Panjang,13,1374,SUMATERA BARAT,KOTA PADANG PANJANG,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1375,Bukittinggi,13,1375,SUMATERA BARAT,KOTA BUKITTINGGI,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1376,Payakumbuh,13,1376,SUMATERA BARAT,KOTA PAYAKUMBUH,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
idn.13.1377,Pariaman,13,1377,SUMATERA BARAT,KOTA PARIAMAN,2015,2024,0.0,0.0,0.0,dibi_kabupaten_hidromet_2015_2024,recorded_event_occurrence,recorded_occurrence_context_aggregate,qualified_current_crosswalk,false,false,false,false
